operator,id_ticket,date,activity
Fajar,6455/BJBR/Aug/2019,"2019-08-02 15:44:00.0",CLOSE
Fajar,6436/BJBR/Aug/2019,"2019-08-02 15:17:00.0",CLOSE
Alam,6446/BJBR/Aug/2019,"2019-08-02 13:29:00.0",CLOSE
Alam,6437/BJBR/Aug/2019,"2019-08-02 13:21:00.0",CLOSE
Sayyid,6439/BRKR/Aug/2019,"2019-08-02 13:04:00.0",CLOSE
Laura,6418/BRKR/Aug/2019,"2019-08-01 19:16:00.0",CLOSE
Alam,6400/BJBR/Jul/2019,"2019-08-01 17:29:00.0",CLOSE
Alam,6274/BJBR/Jul/2019,"2019-08-01 16:55:00.0",CLOSE
Laura,6419/BRKR/Aug/2019,"2019-08-01 14:04:00.0",CLOSE
Sayyid,6421/SMPO/Aug/2019,"2019-08-01 13:00:15.0",CLOSE
Sayyid,6413/BSBB/Jul/2019,"2019-08-01 12:06:15.0",CLOSE
Sayyid,6286/BPRKS/Jul/2019,"2019-08-01 11:40:15.0",CLOSE
Yefta,6407/BSBB/Jul/2019,"2019-08-01 10:42:15.0",CLOSE
Laura,6414/BRKR/Jul/2019,"2019-08-01 09:33:00.0",CLOSE
Fajar,6415/BJBR/Jul/2019,"2019-08-01 09:07:00.0",CLOSE
Paul,6197/BJBR/Jul/2019,"2019-07-31 18:45:15.0",CLOSE
Fajar,6412/BJBR/Jul/2019,"2019-07-31 18:12:00.0",CLOSE
Paul,6411/BJBR/Jul/2019,"2019-07-31 17:04:15.0",CLOSE
Laura,6376/BRKR/Jul/2019,"2019-07-31 16:53:00.0",CLOSE
Sayyid,6386/BSBB/Jul/2019,"2019-07-31 16:23:15.0",CLOSE
Fajar,6320/BJBR/Jul/2019,"2019-07-31 15:53:00.0",CLOSE
Sayyid,6399/BRKR/Jul/2019,"2019-07-31 15:34:15.0",CLOSE
Paul,6333/BJBR/Jul/2019,"2019-07-31 15:23:15.0",CLOSE
Paul,6410/BJBR/Jul/2019,"2019-07-31 14:44:15.0",CLOSE
Paul,6187/BJBR/Jul/2019,"2019-07-31 14:16:15.0",CLOSE
Paul,6245/BJBR/Jul/2019,"2019-07-31 13:42:15.0",CLOSE
Paul,6281/BJBR/Jul/2019,"2019-07-31 13:17:15.0",CLOSE
Paul,6282/BJBR/Jul/2019,"2019-07-31 11:49:15.0",CLOSE
Yefta,6409/BPJS/Jul/2019,"2019-07-31 11:25:00.0",CLOSE
Fajar,6391/BJBR/Jul/2019,"2019-07-31 11:08:00.0",CLOSE
Paul,6249/BJBR/Jul/2019,"2019-07-31 10:23:15.0",CLOSE
Fajar,6397/BJBR/Jul/2019,"2019-07-31 10:18:00.0",CLOSE
Fajar,6406/BJBR/Jul/2019,"2019-07-31 10:16:00.0",CLOSE
Yefta,6289/BPRKS/Jul/2019,"2019-07-31 09:22:15.0",CLOSE
Alam,6359/BJBR/Jul/2019,"2019-07-30 19:39:00.0",CLOSE
Fajar,6395/BJBR/Jul/2019,"2019-07-30 17:44:00.0",CLOSE
Vio,6393/BSBB/Jul/2019,"2019-07-30 14:34:30.0",CLOSE
Alam,6388/BJBR/Jul/2019,"2019-07-30 14:30:15.0",CLOSE
Alam,6383/BJBR/Jul/2019,"2019-07-30 14:24:30.0",CLOSE
Vio,6390/BSBB/Jul/2019,"2019-07-30 14:17:00.0",CLOSE
Alam,6329/BJBR/Jul/2019,"2019-07-30 14:08:45.0",CLOSE
Alam,6325/BJBR/Jul/2019,"2019-07-30 14:05:45.0",CLOSE
Alam,6392/BJBR/Jul/2019,"2019-07-30 14:04:30.0",CLOSE
Alam,6181/BJBR/Jul/2019,"2019-07-30 13:41:45.0",CLOSE
Fajar,6387/BJBR/Jul/2019,"2019-07-30 12:54:00.0",CLOSE
Alam,6323/BJBR/Jul/2019,"2019-07-30 12:46:45.0",CLOSE
Alam,6236/BJBR/Jul/2019,"2019-07-30 11:22:45.0",CLOSE
Alam,6185/BJBR/Jul/2019,"2019-07-30 10:54:45.0",CLOSE
Alam,6347/BJBR/Jul/2019,"2019-07-30 07:50:00.0",CLOSE
Alam,6351/BJBR/Jul/2019,"2019-07-30 07:49:00.0",CLOSE
Alam,6248/BJBR/Jul/2019,"2019-07-29 19:20:45.0",CLOSE
Alam,6190/BJBR/Jul/2019,"2019-07-29 17:28:45.0",CLOSE
Alam,6382/BJBR/Jul/2019,"2019-07-29 17:11:15.0",CLOSE
Sayyid,6381/BSBB/Jul/2019,"2019-07-29 16:34:30.0",CLOSE
Alam,6194/BJBR/Jul/2019,"2019-07-29 16:16:45.0",CLOSE
Paul,6379/BJBR/Jul/2019,"2019-07-29 15:56:00.0",CLOSE
Sayyid,6374/BSBB/Jul/2019,"2019-07-29 15:10:30.0",CLOSE
Alam,6384/BJBR/Jul/2019,"2019-07-29 15:08:15.0",CLOSE
Sayyid,6372/BSBB/Jul/2019,"2019-07-29 15:00:30.0",CLOSE
Alam,6237/BJBR/Jul/2019,"2019-07-29 13:58:45.0",CLOSE
Alam,6240/BJBR/Jul/2019,"2019-07-29 13:58:45.0",CLOSE
Paul,6377/BJBR/Jul/2019,"2019-07-29 13:45:00.0",CLOSE
Paul,6241/BJBR/Jul/2019,"2019-07-29 12:55:45.0",CLOSE
Alam,6375/BJBR/Jul/2019,"2019-07-29 11:59:15.0",CLOSE
Alam,6322/BJBR/Jul/2019,"2019-07-29 11:54:15.0",CLOSE
Alam,6432/BJBR/Aug/2019,"2019-07-29 11:33:00.0",CLOSE
Paul,6368/BJBR/Jul/2019,"2019-07-29 11:14:45.0",CLOSE
Paul,6242/BJBR/Jul/2019,"2019-07-29 11:13:45.0",CLOSE
Paul,6373/BJBR/Jul/2019,"2019-07-29 10:50:45.0",CLOSE
Vio,6306/BPRKS/Jul/2019,"2019-07-29 10:50:00.0",CLOSE
Vio,6364/BRKR/Jul/2019,"2019-07-29 10:45:00.0",CLOSE
Vio,6307/BPRKS/Jul/2019,"2019-07-29 10:11:00.0",CLOSE
Paul,6352/BJBR/Jul/2019,"2019-07-29 09:48:15.0",CLOSE
Paul,6362/BJBR/Jul/2019,"2019-07-28 17:33:15.0",CLOSE
Alam,6365/BJBR/Jul/2019,"2019-07-27 13:38:30.0",CLOSE
Alam,6342/BJBR/Jul/2019,"2019-07-27 12:10:00.0",CLOSE
Alam,6308/BJBR/Jul/2019,"2019-07-27 07:25:30.0",CLOSE
Fajar,6315/BJBR/Jul/2019,"2019-07-26 18:23:00.0",CLOSE
Paul,6075/BJBR/Jul/2019,"2019-07-26 18:20:15.0",CLOSE
Alam,6331/BJBR/Jul/2019,"2019-07-26 17:54:30.0",CLOSE
Laura,6300/BPRKS/Jul/2019,"2019-07-26 17:52:00.0",CLOSE
Alam,6330/BJBR/Jul/2019,"2019-07-26 16:40:30.0",CLOSE
Laura,6303/BPRKS/Jul/2019,"2019-07-26 16:20:00.0",CLOSE
Laura,6302/BPRKS/Jul/2019,"2019-07-26 15:46:00.0",CLOSE
Paul,6344/BJBR/Jul/2019,"2019-07-26 15:22:30.0",CLOSE
Alam,6318/BJBR/Jul/2019,"2019-07-26 15:15:30.0",CLOSE
Laura,6343/BRKR/Jul/2019,"2019-07-26 15:14:30.0",CLOSE
Laura,6305/BPRKS/Jul/2019,"2019-07-26 14:20:00.0",CLOSE
Alam,6314/BJBR/Jul/2019,"2019-07-26 14:12:30.0",CLOSE
Paul,6345/BJBR/Jul/2019,"2019-07-26 14:02:30.0",CLOSE
